FiberLength										
version=1										
nRows=4903										
nColumns=7										
inDegrees=no										
										
"This analysis gathers basic information about muscles during a simulation (e.g., forces, tendon lengths, moment arms, etc)."										
"Units are S.I. units (second, meters, Newtons, ...)"										
Angles are in degrees.										
										
endheader										
time	bifemlh_r	bifemsh_r	glut_max2_r	Vastus Intermedius	med_gas_r	tib_ant_r		Vastus Intermedius Optimal Fiber Length		
0.12763632	0.13672192	0.1526261	0.15089212	0.14593353	0.13671094	0.11558995	225	0.12617328		
0.12775976	0.13671645	0.1526404	0.15088195	0.1459137	0.13672205	0.11559278	226	0.12617328		
0.12798997	0.13670544	0.15266708	0.15086298	0.14587666	0.1367428	0.11559803	227	0.12617328		
0.12839176	0.13668912	0.15271387	0.1508297	0.14581223	0.13677907	0.11560717	228	0.12617328		
0.12844194	0.13668645	0.1527197	0.15082556	0.14580412	0.1367836	0.1156083	229	0.12617328		
0.12850566	0.13668344	0.15272711	0.1508203	0.14579386	0.13678936	0.11560973	230	0.12617328		
0.12877361	0.13667137	0.15275839	0.15079801	0.14575074	0.13681363	0.11561578	231	0.12617328		
0.12898041	0.13666454	0.15278261	0.15078074	0.14571763	0.13683231	0.11562045	232	0.12617328		
0.12934414	0.13664458	0.1528251	0.15075049	0.14565872	0.13686537	0.11562855	233	0.12617328		
0.12938051	0.13664587	0.15282946	0.15074735	0.1456531	0.13686864	0.11562939	234	0.12617328		
0.12941689	0.13664653	0.15283379	0.15074424	0.14564742	0.13687191	0.11563023	235	0.12617328		
0.12959875	0.13663347	0.15285497	0.15072919	0.14561766	0.13688847	0.11563422	236	0.12617328		
0.12988674	0.13662425	0.15288894	0.15070488	0.14557148	0.13691462	0.11564064	237	0.12617328		
0.12994113	0.13662142	0.15289533	0.15070034	0.14556267	0.13691958	0.11564184	238	0.12617328		
0.130053	0.13661622	0.15290851	0.15069094	0.1455446	0.13692979	0.1156443	239	0.12617328		
0.13038936	0.13660098	0.15294816	0.15066258	0.14549019	0.13696042	0.1156517	240	0.12617328		
0.13051423	0.13659556	0.15296291	0.15065203	0.14547001	0.13697182	0.11565444	241	0.12617328		
0.13073749	0.1365861	0.15298934	0.1506331	0.14543393	0.1369922	0.11565933	242	0.12617328		
0.13106352	0.13657128	0.15302796	0.15060543	0.1453811	0.137022	0.11566643	243	0.12617328		
0.13126345	0.13656232	0.15305168	0.15058841	0.14534868	0.13704029	0.11567076	244	0.12617328		
0.13162459	0.13654685	0.15309465	0.15055765	0.14529022	0.13707339	0.11567854	245	0.12617328		
0.13184952	0.13653585	0.15312142	0.15053837	0.14525357	0.13709401	0.11568339	246	0.12617328		
0.13207446	0.13652706	0.1531483	0.15051913	0.14521722	0.13711469	0.11568819	247	0.12617328		
0.13213865	0.13652405	0.15315596	0.15051361	0.14520677	0.13712058	0.11568956	248	0.12617328		
0.13223872	0.13651863	0.15316789	0.15050499	0.14519037	0.13712977	0.1156917	249	0.12617328		
0.13261889	0.13650255	0.15321342	0.15047231	0.14512868	0.13716475	0.11569976	250	0.12617328		
0.13281093	0.13649331	0.15323643	0.15045572	0.14509735	0.13718245	0.11570383	251	0.12617328		
0.13302114	0.13648381	0.15326157	0.15043754	0.14506311	0.13720183	0.11570825	252	0.12617328		
0.13328375	0.13647215	0.15329315	0.15041479	0.14502033	0.13722607	0.11571376	253	0.12617328		
0.13348183	0.13646302	0.153317	0.15039759	0.14498802	0.13724437	0.1157179	254	0.12617328		
0.13384148	0.13644664	0.15336047	0.1503663	0.14492932	0.13727763	0.11572538	255	0.12617328		
0.13405991	0.13643697	0.15338688	0.15034723	0.14489368	0.13729786	0.1157299	256	0.12617328		
0.13429476	0.13642593	0.15341529	0.15032668	0.14485524	0.13731962	0.11573475	257	0.12617328		
0.13459843	0.13641321	0.15345215	0.1503001	0.14480577	0.13734783	0.11574097	258	0.12617328		
0.13463939	0.13641096	0.15345711	0.15029651	0.14479901	0.13735163	0.11574181	259	0.12617328		
0.13475717	0.13640484	0.15347137	0.15028615	0.14477962	0.13736254	0.11574422	260	0.12617328		
0.13501408	0.13639317	0.15350263	0.1502635	0.14473757	0.13738645	0.11574947	261	0.12617328		
0.13510955	0.13638833	0.15351423	0.15025509	0.14472188	0.13739532	0.1157514	262	0.12617328		
0.13531045	0.13638034	0.15353873	0.1502374	0.14468911	0.13741402	0.11575546	263	0.12617328		
0.13554485	0.13636866	0.1535673	0.15021666	0.14465057	0.13743586	0.1157602	264	0.12617328		
0.13574255	0.13636209	0.15359152	0.15019915	0.14461843	0.13745429	0.11576417	265	0.12617328		
0.13609245	0.13634149	0.1536342	0.15016807	0.14456047	0.13748696	0.11577118	266	0.12617328		
0.13612744	0.13634217	0.15363855	0.15016497	0.14455499	0.13749022	0.11577187	267	0.12617328		
